id,text,created_at,like_count,retweet_count,reply_count,quote_count
1567102465119485952,Congratulations @trussliz on your election as Prime Minister of the UK. We look forward to further strengthening the existing close ties between the UK and Rwanda and wish you success.,2022-09-06 10:48:37+00:00,4123,676,168,19
1559547993086459906,The Government of Rwanda attaches great importance to the good relationship and cooperation between Kenya and Rwanda.,2022-08-16 14:29:51+00:00,4101,691,97,6
1559547989613592576,"On behalf of the Government and People of Rwanda, I congratulate our Brothers and Sisters, the People of Kenya, for conducting peaceful elections on 9 August 2022. I also congratulate H.E. Dr William Samoei Ruto, the President-Elect.",2022-08-16 14:29:50+00:00,27200,4050,746,128
1557345403493912579,"A very Happy BD Jeannette!
60years sounds short. IMAGINE for 30+ we've been together-It is when everything FAMILY &amp; COUNTRY we could look up to happened. Gets harder every day to ask for more or better. Bless ALL of us!!! 😁😍",2022-08-10 12:37:32+00:00,11253,1400,652,114
1556619233374658561,That....😍 https://t.co/INW140haJP,2022-08-08 12:32:00+00:00,21334,1593,909,124
1556617901314084865,The two little angels enjoying their time together..😍😍!!!,2022-08-08 12:26:42+00:00,5328,425,262,27
1549735429867507714,Congrats Ange &amp; Bertrand ...😍 https://t.co/RkTg9dCnms,2022-07-20 12:38:13+00:00,20359,1881,1494,202
1540985280521555968,"Congratulations to all the organisers, the security forces who kept everyone safe, the staff across all venues and all Rwandans who contributed to the success of #CHOGM2022! Thank you immensely for doing the country proud!",2022-06-26 09:08:15+00:00,16405,3266,1526,298
1540979493552234497,"Thank you to all 4,000 participants who joined us for #CHOGM2022. To my fellow leaders, it was an honor to host you all in Rwanda to reaffirm our united resolve to deliver a prosperous,dignified future for the citizens of the Commonwealth family. We wish you all a safe trip home!",2022-06-26 08:45:15+00:00,9572,1899,519,82
1537647011528429573,To Curry the MVP....Congratulations!!!,2022-06-17 04:03:10+00:00,9857,1137,1114,136
1537644889369985025,2022 NBA CHAMPIONS- my team- WARRIORS- Congratulations!!!!,2022-06-17 03:54:44+00:00,12274,1495,956,244
1537464754150821889,"Had a good telephone conversation with Prime Minister @JustinTrudeau about bilateral and global issues of common interest. I am happy to be welcoming him to #CHOGM2022 next week along with other leaders, and look forward to broadening our discussion and our cooperation.",2022-06-16 15:58:56+00:00,5421,922,1293,109
1533516641627160576,"Congratulations to Queen Elizabeth II on the occasion of her #PlatinumJubilee and her dedication to service over the last 70 years. As Rwanda gets ready to host #CHOGM2022, we look forward to strengthening the friendship and cooperation within the Commonwealth family.",2022-06-05 18:30:33+00:00,5518,943,984,58
1529952768068399104,Dear President @Macky_Sall our deep condolences to you and Senegal for the tragic loss of these very young lives! Bless.,2022-05-26 22:28:59+00:00,8141,1032,1284,106
1521172768452136965,"#EidMubarak to all Muslim families celebrating Eid al-Fitr! Wishing you and your loved ones, a joyous holiday!",2022-05-02 17:00:24+00:00,4769,628,461,12
1520066226978013186,Thank you @NEPAD_Mayaki for your impactful leadership as CEO of NEPAD and for your contribution towards delivering prosperity to our continent. I wish you the very best in the next chapter!!,2022-04-29 15:43:24+00:00,2005,330,255,7
1518695038439600129,"Back home after a happy 2 days-visit in Uganda for Gen. @mkainerugaba birthday during which I had productive discussions with H.E President @KagutaMuseveni on bilateral, regional and global issues.",2022-04-25 20:54:47+00:00,13029,2074,1160,154
1518449543586717698,Congratulations on your well-deserved re-election President @EmmanuelMacron. This is a testament to your visionary leadership that seeks to unite and not divide. Rwanda looks forward to even more and stronger partnerships between our people and nations.,2022-04-25 04:39:17+00:00,7817,1249,542,55
1517520307086675968,My sincere condolences to the people of Kenya and to the family of President Kibaki. His dedication to the economic transformation of Kenya and his work towards regional integration will be remembered for many generations. The people of Rwanda stand with Kenya during this time.,2022-04-22 15:06:50+00:00,5540,893,197,25
1513959151008944128,Had a productive phone conversation with Prince Charles @ClarenceHouse who we look forward to welcoming to #CHOGM2022. We discussed partnerships that include addressing climate change and the ongoing success of the Sustainable Markets Initiative.,2022-04-12 19:16:04+00:00,3997,754,443,24
